# CHẨN_ĐOÁN — lexicon (tiếng Việt) + mã ICD-10 (chuẩn WHO, 3–4 ký tự — khớp ví dụ chính thức
# require.md: GERD -> K21.0,K21.9). KHÔNG dùng ICD-10-CM 5+ ký tự vì VN dùng WHO ICD-10.
# Định dạng:  cụm tiếng Việt | MÃ1,MÃ2 | english gloss (verify bằng NLM API theo họ 3 ký tự)
# Dòng không có '|' = chưa gán mã. '#' = comment.
tăng huyết áp | I10 | essential hypertension
viêm tủy xương | M86.9 | osteomyelitis unspecified
tăng calci máu | E83.5 | disorders of calcium metabolism
hạ calci máu | E83.5 | disorders of calcium metabolism
ngoại tâm thu nhĩ | I49.1 | atrial premature depolarization
ngoại tâm thu thất | I49.3 | ventricular premature depolarization
nhịp tim chậm | R00.1 | bradycardia unspecified
nhịp nhanh trên thất | I47.1 | supraventricular tachycardia
nhịp nhanh thất | I47.2 | ventricular tachycardia
rung thất | I49.0 | ventricular fibrillation
sỏi ống mật chủ | K80.5 | calculus of bile duct
sỏi ống mật | K80.5 | calculus of bile duct
hội chứng nghiện rượu | F10.2 | alcohol dependence
nghiện rượu | F10.2 | alcohol dependence
chấn thương đầu | S09.9 | unspecified injury of head
tràn dịch màng tim | I31.3 | pericardial effusion
khí phế thủng | J43.9 | emphysema
xẹp phổi | J98.1 | atelectasis
nang màng nhện | G93.0 | cerebral cyst
bệnh thận đa nang | Q61.3 | polycystic kidney
tăng kali máu | E87.5 | hyperkalemia
hạ kali máu | E87.6 | hypokalemia
tăng natri máu | E87.0 | hypernatremia
hạ natri máu | E87.1 | hyponatremia
bất thường điện giải | E87.8 | electrolyte imbalance
phình mạch não | I67.1 | cerebral aneurysm nonruptured
nhiễm trùng răng miệng | K04.7 | periapical abscess
gãy xương sườn | S22.3 | fracture of rib
chấn thương gãy xương sườn | S22.3 | fracture of rib
bàng quang thần kinh | N31.9 | neuromuscular dysfunction of bladder
liệt hai chi dưới | G82.2 | paraplegia
liệt hai chân | G82.2 | paraplegia
đa u tủy xương | C90.0 | multiple myeloma
đa u tuỷ xương | C90.0 | multiple myeloma
viêm tuyến mồ hôi | L73.2 | hidradenitis suppurativa
bệnh đa xơ cứng | G35 | multiple sclerosis
phù phổi | J81 | pulmonary edema
bệnh phổi kẽ | J84.9 | interstitial pulmonary disease
thuyên tắc mạch phổi | I26.9 | pulmonary embolism
tắc mạch phổi | I26.9 | pulmonary embolism
sa van hai lá | I34.1 | mitral valve prolapse
hẹp van động mạch chủ | I35.0 | aortic valve stenosis
hở van động mạch chủ | I35.1 | aortic valve insufficiency
hẹp van hai lá | I05.0 | mitral stenosis
xuất huyết dưới nhện | I60.9 | subarachnoid hemorrhage
xuất huyết dưới màng cứng | I62.0 | subdural hemorrhage
ngừng thở khi ngủ | G47.3 | sleep apnea
bệnh gan do rượu | K70.9 | alcoholic liver disease
hẹp ống sống | M48.0 | spinal stenosis
viêm họng do liên cầu | J02.0 | streptococcal pharyngitis
giãn phế quản | J47 | bronchiectasis
u xơ tử cung | D25.9 | leiomyoma of uterus
u cơ trơn tử cung | D25.9 | leiomyoma of uterus
tăng áp lực tĩnh mạch cửa | K76.6 | portal hypertension
tăng áp tĩnh mạch cửa | K76.6 | portal hypertension
gãy cổ xương đùi | S72.0 | fracture of neck of femur
loạn thần | F29 | unspecified psychosis
cơn đau thắt ngực ổn định | I20.9 | angina pectoris unspecified
đau thắt ngực ổn định | I20.9 | angina pectoris unspecified
cường cận giáp nguyên phát | E21.0 | primary hyperparathyroidism
cường cận giáp | E21.0 | hyperparathyroidism
bệnh mạch máu ngoại biên | I73.9 | peripheral vascular disease
u sacoit | D86.9 | sarcoidosis
sarcoidosis | D86.9 | sarcoidosis
loét ở tá tràng | K26.9 | duodenal ulcer
tiểu máu | R31 | hematuria
rối loạn thần kinh | G98 | disorder of nervous system [fix: G98.8 không tồn tại trong WHO, G98 mới đúng]
